municipio,ingreso_sep,irregularidad_total_sep,irregularidad_relativa_sep,n_habitantes,gasto_municipal_m,gasto_per_capita_m,idse,n_concejo,n_mujeres_concejo,prop_mujeres_concejo,genero_alcaldia,transparencia_activa,nivel_ruralidad
lautaro,649574185,0,0.00000000,38013,4219883,111.011575,0.405,6,0,0,1,0.1867,urbana
victoria,537154535,2135939,0.00397640,34182,3571142,104.4743432,0.493,6,2,0.3333333333,1,0.473,urbana
freire,247767734,0,0.00000000,24606,3155019,128.2215313,0.324,6,1,0.1666666667,1,0.1765,urbana
villarica,468464660,310350775,0.66248492,55478,5221307,94.11491041,0.521,6,2,0.3333333333,1,0.1423,urbana
angol,889172077,46463009,0.05225424,53262,6121702,114.9356389,0.539,6,3,0.5,1,0.1151,urbana
temuco,2207262573,972371562,0.44053280,282415,24732242,87.57410902,0.657,8,2,0.25,1,0.4023,urbana
vilcun,370296767,1453100,0.00392415,28151,3114910,110.6500657,0.426,6,2,0.3333333333,1,0.3023,urbana
padre las casas,346923110,0,0.00000000,76126,6135648,80.59858655,0.432,6,1,0.1666666667,1,0.5617,urbana
puerto montt,3734901468,4620000,0.00123698,245902,20709225,84.21739148,0.619,8,1,0.125,1,0.6749,urbana
calbuco,922449407,3596164,0.00389849,33985,2980890,87.71193173,0.474,6,2,0.3333333333,1,0.3286,urbana
osorno,1910867446,173696907,0.09089951,161460,15059375,93.27000495,0.605,8,1,0.125,1,0.4362,urbana
llanquihue,412467817,539599,0.00130822,17591,2003602,113.8992667,0.612,6,1,0.1666666667,1,0.382,rural
puerto varas,724496121,0,0.00000000,44578,5346556,119.937099,0.619,6,0,0,1,0.4969,urbana
aysen,426492826,0,0.00000000,23959,3453781,144.1538044,0.613,6,2,0.3333333333,0,0.377,urbana
cisnes,166454955,27983984,0.16811746,6517,1711730,262.6561301,0.622,6,2,0.3333333333,1,0.1195,rural
coyhaique,691191128,225101456,0.32567180,57818,6758726,116.896572,0.664,6,2,0.3333333333,1,0.4086,urbana
porvenir,76004744,8172627,0.10752785,6801,1498584,220.3475959,0.726,6,0,0,1,0.2018,rural
cabo de hornos,39999545,11603075,0.29008017,2063,1278097,619.5332041,0.781,6,2,0.3333333333,1,0.1326,rural
rio bueno,543062059,7250629,0.01335138,31372,3316098,105.7024735,0.51,6,1,0.1666666667,1,0.1152,urbana
la union,879404579,1840000,0.00209232,38036,3378886,88.83389421,0.499,6,0,0,0,0.7613,urbana
valdivia,2086052527,93084657,0.04462239,166080,15733210,94.73271917,0.652,8,1,0.125,1,0.3812,urbana
